Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Sola;SN44560;12.09.2015;20,4
Sola;SN44560;13.09.2015;17
Sola;SN44560;14.09.2015;20,6
Sola;SN44560;15.09.2015;18,7
Sola;SN44560;16.09.2015;17,3
Sola;SN44560;17.09.2015;18,6
Sola;SN44560;18.09.2015;16,6
Sola;SN44560;19.09.2015;14,7
Sola;SN44560;20.09.2015;15
Sola;SN44560;21.09.2015;15,5
Sola;SN44560;22.09.2015;14,8
Sola;SN44560;23.09.2015;17,6
Sola;SN44560;24.09.2015;14,4
Sola;SN44560;25.09.2015;14,5
Sola;SN44560;26.09.2015;15
Sola;SN44560;27.09.2015;15,4
Sola;SN44560;28.09.2015;16,3
Sola;SN44560;29.09.2015;15,7
Sola;SN44560;30.09.2015;15,1
Sola;SN44560;01.09.2016;17,2
Sola;SN44560;02.09.2016;17,5
Sola;SN44560;03.09.2016;17,2
Sola;SN44560;04.09.2016;18,7
Sola;SN44560;05.09.2016;20,7
Sola;SN44560;06.09.2016;17,9
Sola;SN44560;07.09.2016;19
Sola;SN44560;08.09.2016;23,2
Sola;SN44560;09.09.2016;21,2
Sola;SN44560;10.09.2016;18,2
Sola;SN44560;11.09.2016;17,7
Sola;SN44560;12.09.2016;20,6
Sola;SN44560;13.09.2016;26,1
Sola;SN44560;14.09.2016;23,8
Sola;SN44560;15.09.2016;26,7
Sola;SN44560;16.09.2016;25,7
Sola;SN44560;17.09.2016;21,4
Sola;SN44560;18.09.2016;20,1
Sola;SN44560;19.09.2016;18,9
Sola;SN44560;20.09.2016;18,8
Sola;SN44560;21.09.2016;19,3
Sola;SN44560;22.09.2016;17,5
Sola;SN44560;23.09.2016;16,2
Sola;SN44560;24.09.2016;17,4
Sola;SN44560;25.09.2016;21,9
Sola;SN44560;26.09.2016;18,8
Sola;SN44560;27.09.2016;16,2
Sola;SN44560;28.09.2016;15,4
Sola;SN44560;29.09.2016;16,8
Sola;SN44560;30.09.2016;13,9
Sola;SN44560;01.09.2017;14,5
Sola;SN44560;02.09.2017;15,6
Sola;SN44560;03.09.2017;19,1
Sola;SN44560;04.09.2017;18,9
Sola;SN44560;05.09.2017;15,2
Sola;SN44560;06.09.2017;15,9
Sola;SN44560;07.09.2017;13,7
Sola;SN44560;08.09.2017;15,6
Sola;SN44560;09.09.2017;16,2
Sola;SN44560;10.09.2017;15
Sola;SN44560;11.09.2017;15,8
Sola;SN44560;12.09.2017;14,7
Sola;SN44560;13.09.2017;14,3
Sola;SN44560;14.09.2017;14,6
Sola;SN44560;15.09.2017;15,7
Sola;SN44560;16.09.2017;16,5
Sola;SN44560;17.09.2017;16,7
Sola;SN44560;18.09.2017;14,8
Sola;SN44560;19.09.2017;12,9
Sola;SN44560;20.09.2017;13,1
Sola;SN44560;21.09.2017;13,6
Sola;SN44560;22.09.2017;14,3
Sola;SN44560;23.09.2017;16,7
Sola;SN44560;24.09.2017;17,3
Sola;SN44560;25.09.2017;19,3
Sola;SN44560;26.09.2017;17,7
Sola;SN44560;27.09.2017;18,7
Sola;SN44560;28.09.2017;17,9
Sola;SN44560;29.09.2017;17,6
Sola;SN44560;30.09.2017;16,1
Sola;SN44560;01.09.2018;17,6
Sola;SN44560;02.09.2018;19,9
Sola;SN44560;03.09.2018;19,9
Sola;SN44560;04.09.2018;19,5
Sola;SN44560;05.09.2018;18,3
Sola;SN44560;06.09.2018;16,2
Sola;SN44560;07.09.2018;21,1
Sola;SN44560;08.09.2018;18,7
Sola;SN44560;09.09.2018;17,4
Sola;SN44560;10.09.2018;16,5
Sola;SN44560;11.09.2018;16,6
Sola;SN44560;12.09.2018;15,2
Sola;SN44560;13.09.2018;15,5
Sola;SN44560;14.09.2018;16,2
Sola;SN44560;15.09.2018;15,1
Sola;SN44560;16.09.2018;15
Sola;SN44560;17.09.2018;15,3
Sola;SN44560;18.09.2018;22,9
Sola;SN44560;19.09.2018;17,6
Sola;SN44560;20.09.2018;16,6
Sola;SN44560;21.09.2018;16,4
Sola;SN44560;22.09.2018;13,3
Sola;SN44560;23.09.2018;12,1
Sola;SN44560;24.09.2018;9
Sola;SN44560;25.09.2018;13,6
Sola;SN44560;26.09.2018;13,6
Sola;SN44560;27.09.2018;14,2
Sola;SN44560;28.09.2018;11,7
Sola;SN44560;29.09.2018;12,1
Sola;SN44560;30.09.2018;12,4
Sola;SN44560;01.09.2019;18,4
Sola;SN44560;02.09.2019;15,3
Sola;SN44560;03.09.2019;15,6
Sola;SN44560;04.09.2019;15,4
Sola;SN44560;05.09.2019;13,7
Sola;SN44560;06.09.2019;15,9
Sola;SN44560;07.09.2019;16,3
Sola;SN44560;08.09.2019;16,4
Sola;SN44560;09.09.2019;18,3
Sola;SN44560;10.09.2019;18,1
Sola;SN44560;11.09.2019;16,8
Sola;SN44560;12.09.2019;15,7
Sola;SN44560;13.09.2019;15,1
Sola;SN44560;14.09.2019;15,2
Sola;SN44560;15.09.2019;14,1
Sola;SN44560;16.09.2019;14,2
Sola;SN44560;17.09.2019;12,6
Sola;SN44560;18.09.2019;13,2
Sola;SN44560;19.09.2019;11,9
Sola;SN44560;20.09.2019;14
Sola;SN44560;21.09.2019;17,5
Sola;SN44560;22.09.2019;20,8
Sola;SN44560;23.09.2019;19,7
Sola;SN44560;24.09.2019;14,7
Sola;SN44560;25.09.2019;17,1
Sola;SN44560;26.09.2019;16,8
Sola;SN44560;27.09.2019;15,8
